replication,call_type,call_started,call_answered,call_ended,
1,3,0,0,80.8277,
1,2,71.6444,71.6444,109,
1,1,84.0983,84.0983,658.23,
1,2,675.079,675.079,1188.56,
1,2,1056.47,1056.47,1245.18,
1,3,1698.65,1698.65,1761.09,
1,1,2352.67,2352.67,2437.06,
1,1,1899.19,1899.19,2449.62,
1,1,1857.87,1857.87,2473.81,
1,2,2634.83,2634.83,2712.43,
1,3,2762.69,2762.69,3146.73,
1,2,3070.74,3070.74,3645.97,
1,1,3588.86,3588.86,3767.34,
1,2,3917.9,3917.9,4033.41,
1,1,4004.18,4004.18,4112.96,
1,2,3292.96,3292.96,4394.89,
1,1,4640.96,4640.96,4816.52,
1,1,4874.14,4874.14,5090.05,
1,1,5062.27,5062.27,5364.87,
1,1,5142.65,5142.65,5435.12,
1,1,4805.98,4805.98,5648.99,
1,2,5618.32,5618.32,5724.27,
1,3,6227.16,6227.16,6309.41,
1,3,6164.05,6164.05,6390.79,
1,2,6415.82,6415.82,6416.86,
1,3,6492.35,6492.35,6512.69,
1,1,6605.28,6605.28,6873.44,
1,2,7161.31,7161.31,7514.81,
1,1,7870.41,7870.41,7943.13,
1,1,7973.82,7973.82,8069.19,
1,1,8145.92,8145.92,8246,
1,1,8234.31,8234.31,8512.92,
1,1,7815.51,7815.51,9184.97,
1,3,9828,9828,9885.02,
1,3,9847.84,9847.84,10025,
1,1,10135.9,10135.9,10254.3,
1,3,10135.2,10135.2,10272.2,
1,3,10258,10258,10421.6,
1,1,10558.3,10558.3,10708.4,
1,3,10713.1,10713.1,10851.2,
1,1,10038,10038,10876.7,
1,2,9603.37,9603.37,11143.1,
1,1,10585.8,10585.8,11171.9,
1,1,11220.2,11220.2,11403.4,
1,1,11637.1,11637.1,11640.8,
1,1,11590.6,11590.6,11662.8,
1,1,12204.9,12204.9,12251.9,
1,1,12480.3,12480.3,12489.4,
1,3,13271.5,13271.5,13365.3,
1,3,13536.6,13536.6,13828.6,
1,2,13862.4,13862.4,13896,
1,1,14230.3,14230.3,14297.1,
1,3,14414.2,14414.2,14479.5,
1,2,14457.1,14457.1,14489.3,
1,3,14549.5,14549.5,14609.5,
1,1,15135.8,15135.8,15232,
1,2,15348.2,15348.2,15427.8,
1,2,15063.2,15063.2,15697.1,
1,1,16044.5,16044.5,16241.2,
1,1,16319.1,16319.1,16544.8,
1,2,16425.1,16425.1,16593.1,
1,1,16633.6,16633.6,16671.2,
1,1,15692.4,15692.4,16725.5,
1,1,16825.4,16825.4,16881.7,
1,2,16972.3,16972.3,17204.7,
1,2,17223.2,17223.2,17233.1,
1,3,17162.5,17162.5,17253.4,
1,1,17596.6,17596.6,17771.5,
1,1,17663.4,17663.4,17782,
1,1,16521.4,16521.4,17893.3,
1,1,18257,18257,18381.3,
1,2,17225.3,17225.3,18428.9,
1,1,18603.6,18603.6,18702.4,
1,2,17874.3,17874.3,18811.9,
1,2,18369.7,18369.7,18856.3,
1,2,18845,18845,18949.6,
1,3,19003.4,19003.4,19012.8,
1,3,18802.7,18802.7,19077,
1,2,19545.6,19545.6,19548.3,
1,1,19316.1,19316.1,19559.8,
1,2,19925.5,19925.5,20004.6,
1,1,19922.7,19922.7,20063.3,
1,3,20140.7,20140.7,20353,
1,1,20032.9,20032.9,20602.2,
1,1,20738.6,20738.6,21072.5,
1,2,21707,21707,21769,
1,3,22272.3,22272.3,22758.2,
1,3,22703.5,22703.5,22794.8,
1,3,22767.1,22767.1,22900.2,
1,2,22309.7,22309.7,22906.8,
1,1,22980.9,22980.9,23025.4,
1,1,22605.5,22605.5,23198.1,
1,1,23191.4,23191.4,23403,
1,2,23179.4,23179.4,23648.4,
1,1,23464.9,23464.9,23740.4,
1,1,24258.8,24258.8,24604.2,
1,1,24000.5,24000.5,24809.5,
1,2,24824.6,24824.6,24864,
1,2,24985,24985,25628.8,
1,3,25628.2,25628.2,25830.7,
1,1,25570.5,25570.5,25833.3,
1,2,25987,25987,26054.5,
1,1,25983,25983,26127.5,
1,1,26267,26267,26365.3,
1,1,26148,26148,26500.3,
1,1,26455.1,26455.1,26554.8,
1,1,26016.4,26016.4,26596.2,
1,2,26706,26706,26725.8,
1,3,27140.4,27140.4,27643.4,
1,1,27763.9,27763.9,27911.8,
1,1,27194.5,27194.5,28038.2,
1,2,27626.1,27626.1,28088,
1,1,28445,28445,28531.7,
1,3,28939,28939,28964.2,
1,2,29283.1,29283.1,29522,
1,2,29713.9,29713.9,29796.8,
1,3,29862.8,29862.8,30120.9,
1,1,29788.5,29788.5,30170.2,
1,3,30235.6,30235.6,30413.9,
1,1,30408.6,30408.6,30423.1,
1,3,30489.4,30489.4,30561.7,
1,3,30400.9,30400.9,30681,
1,1,30551.8,30551.8,30744.9,
1,1,31058.5,31058.5,31107.6,
