replication,call_type,call_started,call_answered,call_ended,
1,3,0,0,80.8277,
1,2,59.4941,59.4941,96.8494,
1,1,69.8359,69.8359,643.968,
1,2,877.3,877.3,1066.01,
1,2,560.591,560.591,1074.07,
1,3,1410.57,1410.57,1473.01,
1,1,1953.67,1953.67,2038.07,
1,1,1577.1,1577.1,2127.54,
1,1,1542.79,1542.79,2158.73,
1,2,2187.98,2187.98,2265.58,
1,3,2294.16,2294.16,2678.2,
1,2,2549.96,2549.96,3125.2,
1,1,2980.22,2980.22,3158.69,
1,2,3253.45,3253.45,3368.96,
1,1,3325.1,3325.1,3433.88,
1,2,2734.49,2734.49,3836.43,
1,1,3853.89,3853.89,4029.45,
1,1,4047.52,4047.52,4263.43,
1,1,4203.75,4203.75,4506.35,
1,1,4270.5,4270.5,4562.96,
1,2,4665.49,4665.49,4771.44,
1,1,3990.92,3990.92,4833.94,
1,3,5171.08,5171.08,5253.33,
1,2,5327.74,5327.74,5328.79,
1,3,5118.68,5118.68,5345.42,
1,3,5391.29,5391.29,5411.63,
1,1,5485.07,5485.07,5753.23,
1,2,5946.8,5946.8,6300.3,
1,1,6535.65,6535.65,6608.37,
1,1,6621.52,6621.52,6716.89,
1,1,6764.44,6764.44,6864.51,
1,1,6837.83,6837.83,7116.45,
1,1,6490.05,6490.05,7859.52,
1,3,8161.24,8161.24,8218.26,
1,3,8177.72,8177.72,8354.85,
1,1,8416.91,8416.91,8535.32,
1,3,8416.38,8416.38,8553.37,
1,3,8518.3,8535.32,8698.92,
1,1,8767.71,8767.71,8917.81,
1,3,8896.2,8917.81,9055.94,
1,1,8335.66,8335.66,9174.34,
1,1,8790.52,8790.52,9376.63,
1,1,9317.33,9317.33,9500.57,
1,2,7974.71,7974.71,9514.43,
1,1,9663.52,9663.52,9667.28,
1,1,9624.91,9624.91,9697.13,
1,1,10135,10135,10182.1,
1,1,10363.8,10363.8,10372.8,
1,3,11020.7,11020.7,11114.6,
1,3,11240.9,11240.9,11532.9,
1,2,11511.4,11511.4,11545.1,
1,1,11816.9,11816.9,11883.8,
1,3,11969.7,11969.7,12035,
1,2,12005.2,12005.2,12037.5,
1,3,12082,12082,12142,
1,1,12568.9,12568.9,12665,
1,2,12745.3,12745.3,12824.9,
1,2,12508.6,12508.6,13142.5,
1,1,13323.5,13323.5,13520.2,
1,1,13551.5,13551.5,13777.2,
1,2,13639.6,13639.6,13807.5,
1,1,13812.7,13812.7,13850.3,
1,1,13972,13972,14028.3,
1,1,13031.1,13031.1,14064.2,
1,2,14302.3,14302.3,14312.1,
1,2,14093.9,14093.9,14326.4,
1,3,14251.8,14251.8,14342.8,
1,1,14667.8,14667.8,14786.4,
1,1,14612.4,14612.4,14787.3,
1,1,13719.5,13719.5,15091.4,
1,1,15160.7,15160.7,15285.1,
1,2,14304,14312.1,15515.8,
1,1,15448.5,15448.5,15547.3,
1,2,15254.3,15254.3,15741,
1,2,15649.1,15649.1,15753.6,
1,2,14843,14843,15780.6,
1,3,15780.6,15780.6,15790,
1,3,15613.9,15613.9,15888.2,
1,2,16230.8,16230.8,16233.5,
1,1,16040.2,16040.2,16284,
1,2,16546.3,16546.3,16625.4,
1,1,16544,16544,16684.6,
1,3,16725,16725,16937.2,
1,1,16635.5,16635.5,17204.7,
1,1,17221.5,17221.5,17555.4,
1,2,18025.6,18025.6,18087.7,
1,3,18853.1,18853.1,18944.5,
1,3,18495.1,18495.1,18981,
1,3,18906,18944.5,19077.5,
1,2,18526.1,18526.1,19123.2,
1,1,19083.5,19083.5,19128,
1,1,18771.7,18771.7,19364.4,
1,1,19258.3,19258.3,19469.9,
1,2,19248.3,19248.3,19717.4,
1,1,19485.5,19485.5,19761,
1,1,20144.7,20144.7,20490.1,
1,2,20614.5,20614.5,20654,
1,1,19930.2,19930.2,20739.2,
1,2,20747.7,20747.7,21391.6,
1,3,21281.8,21281.8,21484.3,
1,1,21234,21234,21496.8,
1,2,21579.8,21579.8,21647.3,
1,1,21576.4,21576.4,21721,
1,1,21812.3,21812.3,21910.6,
1,1,21713.5,21713.5,22065.8,
1,1,21968.5,21968.5,22068.2,
1,1,21604.2,21604.2,22184,
1,2,22176.8,22176.8,22196.7,
1,3,22537.6,22537.6,23040.6,
1,1,23055.3,23055.3,23203.2,
1,2,22940.9,22940.9,23402.8,
1,1,22582.5,22582.5,23426.2,
1,1,23620.9,23620.9,23707.7,
1,3,24031.2,24031.2,24056.4,
1,2,24316.9,24316.9,24555.8,
1,2,24674.6,24674.6,24757.6,
1,3,24798.3,24798.3,25056.4,
1,1,24736.6,24736.6,25118.3,
1,1,25251.5,25251.5,25266,
1,3,25107.8,25107.8,25286.2,
