replication,call_type,call_started,call_answered,call_ended,
1,3,0,0,80.8277,
1,2,48.4488,48.4488,85.8041,
1,1,56.8706,56.8706,631.002,
1,2,714.426,714.426,903.139,
1,2,456.515,456.515,969.992,
1,3,1148.69,1148.69,1211.13,
1,1,1590.96,1590.96,1675.36,
1,1,1284.31,1284.31,1834.74,
1,2,1781.78,1781.78,1859.37,
1,1,1256.36,1256.36,1872.31,
1,3,1868.24,1868.24,2252.28,
1,1,2426.93,2426.93,2605.4,
1,2,2076.55,2076.55,2651.79,
1,2,2649.44,2649.44,2764.95,
1,1,2707.78,2707.78,2816.56,
1,1,3138.4,3138.4,3313.96,
1,2,2226.82,2226.82,3328.76,
1,1,3296.09,3296.09,3511.99,
1,1,3423.31,3423.31,3725.9,
1,1,3477.66,3477.66,3770.13,
1,2,3799.33,3799.33,3905.28,
1,1,3249.99,3249.99,4093.01,
1,3,4211.05,4211.05,4293.3,
1,2,4338.63,4338.63,4339.67,
1,3,4168.37,4168.37,4395.11,
1,3,4390.38,4390.38,4410.72,
1,1,4466.75,4466.75,4734.91,
1,2,4842.76,4842.76,5196.26,
1,1,5322.28,5322.28,5395,
1,1,5392.21,5392.21,5487.58,
1,1,5508.59,5508.59,5608.67,
1,1,5568.36,5568.36,5846.98,
1,1,5285.15,5285.15,6654.61,
1,3,6646.08,6646.08,6703.1,
1,3,6659.49,6659.49,6836.63,
1,1,6854.28,6854.28,6972.68,
1,3,6853.84,6853.84,6990.83,
1,3,6936.85,6972.68,7136.29,
1,1,7139.95,7139.95,7290.05,
1,3,7244.58,7290.05,7428.18,
1,1,6788.11,6788.11,7626.79,
1,1,7158.53,7158.53,7744.63,
1,1,7587.53,7587.53,7770.77,
1,1,7869.45,7869.45,7873.21,
1,1,7838.01,7838.01,7910.23,
1,2,6494.17,6494.17,8033.89,
1,1,8253.42,8253.42,8300.47,
1,1,8439.69,8439.69,8448.75,
1,3,8974.67,8974.67,9068.52,
1,2,9374.29,9374.29,9407.92,
1,3,9153.95,9153.95,9445.97,
1,1,9623.06,9623.06,9689.92,
1,2,9776.42,9776.42,9808.67,
1,3,9747.46,9747.46,9812.76,
1,3,9838.93,9838.93,9898.92,
1,1,10235.4,10235.4,10331.6,
1,2,10379.1,10379.1,10458.7,
1,2,10186.4,10186.4,10820.2,
1,1,10849.9,10849.9,11046.7,
1,1,11035.6,11035.6,11261.3,
1,2,11107.3,11107.3,11275.3,
1,1,11248.3,11261.3,11298.9,
1,1,11378,11378,11434.3,
1,1,10611.8,10611.8,11644.9,
1,2,11647,11647,11656.9,
1,3,11605.9,11605.9,11696.9,
1,2,11477.3,11477.3,11709.8,
1,1,11944.7,11944.7,12063.3,
1,1,11899.5,11899.5,12074.4,
1,1,12346.1,12346.1,12470.4,
1,1,11172.4,11172.4,12544.3,
1,1,12580.5,12580.5,12679.2,
1,2,11648.4,11656.9,12860.5,
1,2,12422.3,12470.4,12957.1,
1,3,12715.1,12715.1,12989.4,
1,2,12743.7,12860.5,13002.1,
1,1,12904.2,13002.1,13004.7,
1,1,12899.8,12989.4,13024,
1,2,12087.3,12087.3,13024.9,
1,2,13052.1,13052.1,13131.2,
1,1,13050.2,13050.2,13190.8,
1,3,13197.6,13197.6,13409.8,
1,1,12850.8,12957.1,13502,
