replication,call_type,call_started,call_answered,call_ended,
1,3,0,0,80.8277,
1,2,45.4752,45.4752,82.8305,
1,1,53.3801,53.3801,627.512,
1,2,670.577,670.577,859.29,
1,2,428.496,428.496,941.973,
1,3,1078.19,1078.19,1140.63,
1,1,1493.32,1493.32,1577.71,
1,2,1672.42,1672.42,1750.02,
1,1,1205.48,1205.48,1755.92,
1,1,1179.25,1179.25,1795.2,
1,3,1753.57,1753.57,2137.61,
1,1,2277.97,2277.97,2456.45,
1,2,1949.1,1949.1,2524.34,
1,2,2486.82,2486.82,2602.33,
1,1,2541.59,2541.59,2650.37,
1,1,2945.78,2945.78,3121.34,
1,2,2090.15,2090.15,3192.09,
1,1,3093.79,3093.79,3309.69,
1,1,3213.2,3213.2,3515.79,
1,1,3264.22,3264.22,3556.68,
1,2,3566.14,3566.14,3672.09,
1,1,3050.52,3050.52,3893.53,
1,3,3952.59,3952.59,4034.84,
1,2,4072.34,4072.34,4073.39,
1,3,3912.54,3912.54,4139.28,
1,3,4120.91,4120.91,4141.25,
1,1,4192.6,4192.6,4460.76,
1,2,4545.53,4545.53,4899.03,
1,1,4995.62,4995.62,5068.34,
1,1,5061.26,5061.26,5156.63,
1,1,5170.5,5170.5,5270.58,
1,1,5226.6,5226.6,5505.21,
1,3,6238.17,6238.17,6295.19,
1,1,4960.77,4960.77,6330.23,
1,3,6250.76,6250.76,6427.89,
1,1,6433.59,6433.59,6552,
1,3,6433.18,6433.18,6570.17,
1,3,6511.09,6552,6715.6,
1,1,6701.73,6701.73,6851.83,
1,3,6799.94,6851.83,6989.96,
1,1,6371.48,6371.48,7210.17,
1,1,7121.84,7121.84,7305.08,
1,1,6719.16,6719.16,7305.27,
1,1,7386.45,7386.45,7390.22,
1,1,7356.94,7356.94,7429.17,
1,2,6095.59,6095.59,7635.31,
1,1,7746.86,7746.86,7793.91,
1,1,7921.69,7921.69,7930.76,
1,3,8423.84,8423.84,8517.69,
1,2,8798.93,8798.93,8832.57,
1,3,8592.12,8592.12,8884.14,
1,1,9032.44,9032.44,9099.3,
1,2,9176.39,9176.39,9208.64,
1,3,9149.2,9149.2,9214.51,
1,3,9235.06,9235.06,9295.04,
1,1,9607.23,9607.23,9703.35,
1,2,9742.05,9742.05,9821.64,
1,2,9561.16,9561.16,10195,
1,1,10184,10184,10380.7,
1,1,10358.3,10358.3,10584,
1,2,10425.6,10425.6,10593.6,
1,1,10557.9,10584,10621.6,
1,1,10679.7,10679.7,10736,
1,3,10893.6,10893.6,10984.6,
1,1,9960.51,9960.51,10993.6,
1,2,10772.9,10772.9,11005.3,
1,2,10932.2,10984.6,11159.5,
1,1,10966.7,11159.5,11206.5,
1,1,10937.8,11005.3,11272.5,
1,1,10933.5,10993.6,11298.4,
1,1,11075.2,11298.4,11359.6,
1,1,11061.2,11272.5,11371.3,
1,1,11009.1,11206.5,11476.6,
1,1,11146.8,11359.6,11557.8,
1,3,11515.7,11557.8,11567.2,
1,2,11415.1,11476.6,11581.1,
1,1,11201.4,11371.3,11645.5,
1,1,10486.7,10486.7,11858.6,
1,2,11859.8,11859.8,11862.4,
1,1,11714.1,11714.1,11957.9,
1,2,12100.9,12100.9,12180,
1,1,12099.2,12099.2,12239.8,
1,3,12237.6,12237.6,12449.8,
1,1,12169.1,12169.1,12738.4,
1,1,12617,12617,12950.9,
1,2,13231.7,13231.7,13293.8,
1,3,13864.2,13864.2,13955.6,
1,3,13590.5,13590.5,14076.5,
1,3,13904.6,13955.6,14088.6,
1,1,14040.3,14076.5,14121,
1,2,13614.2,13614.2,14211.3,
1,1,14173.9,14173.9,14385.5,
