replication,call_type,call_started,call_answered,call_ended,
1,3,0,0,80.8277,
1,2,74.1363,74.1363,111.492,
1,1,87.0233,87.0233,661.155,
1,2,698.559,698.559,1212.04,
1,2,1093.21,1093.21,1281.93,
1,3,1757.73,1757.73,1820.17,
1,1,1965.24,1965.24,2515.68,
1,1,2434.49,2434.49,2518.89,
1,1,1922.49,1922.49,2538.43,
1,2,2726.47,2726.47,2804.07,
1,3,2858.78,2858.78,3242.82,
1,2,3177.54,3177.54,3752.78,
1,1,3713.69,3713.69,3892.16,
1,2,4054.17,4054.17,4169.68,
1,1,4143.45,4143.45,4252.23,
1,2,3407.49,3407.49,4509.43,
1,1,4802.38,4802.38,4977.94,
1,1,5043.67,5043.67,5259.57,
1,1,5238.34,5238.34,5540.94,
1,1,5321.52,5321.52,5613.98,
1,1,4973.14,4973.14,5816.15,
1,2,5813.73,5813.73,5919.68,
1,3,6443.74,6443.74,6525.99,
1,3,6378.44,6378.44,6605.18,
1,2,6638.97,6638.97,6640.01,
1,3,6718.16,6718.16,6738.5,
1,1,6835.01,6835.01,7103.17,
1,2,7410.38,7410.38,7763.88,
1,1,8144.15,8144.15,8216.87,
1,1,8251.15,8251.15,8346.53,
1,1,8429.25,8429.25,8529.32,
1,1,8520.71,8520.71,8799.32,
1,1,8087.34,8087.34,9456.8,
1,3,10169.8,10169.8,10226.8,
1,3,10190.4,10190.4,10367.5,
1,1,10488.4,10488.4,10606.8,
1,3,10487.7,10487.7,10624.7,
1,3,10614.8,10614.8,10778.4,
1,1,10925.5,10925.5,11075.6,
1,3,11085.7,11085.7,11223.8,
1,1,10387.2,10387.2,11225.8,
1,2,9937.38,9937.38,11477.1,
1,1,10954,10954,11540.1,
1,1,11610.4,11610.4,11793.7,
1,1,12041.8,12041.8,12045.6,
1,1,11993.7,11993.7,12065.9,
1,1,12629.4,12629.4,12676.4,
1,1,12914.4,12914.4,12923.5,
1,3,13733,13733,13826.9,
1,3,14007.4,14007.4,14299.4,
1,2,14344.5,14344.5,14378.2,
1,1,14725.2,14725.2,14792.1,
1,3,14915.6,14915.6,14980.9,
1,2,14959.9,14959.9,14992.1,
1,3,15055.5,15055.5,15115.5,
1,1,15662.3,15662.3,15758.4,
1,2,15882.1,15882.1,15961.6,
1,2,15587.2,15587.2,16221,
1,1,16602.6,16602.6,16799.3,
1,1,16886.7,16886.7,17112.4,
1,2,16996.4,16996.4,17164.4,
1,1,17212.2,17212.2,17249.7,
1,1,16238.2,16238.2,17271.3,
1,1,17410.6,17410.6,17466.9,
1,2,17562.6,17562.6,17795,
1,2,17822.2,17822.2,17832.1,
1,3,17759.4,17759.4,17850.4,
1,1,18208.7,18208.7,18383.6,
1,1,18277.8,18277.8,18396.3,
1,1,17096.1,17096.1,18467.9,
1,1,18892,18892,19016.3,
1,2,17824.4,17824.4,19028,
1,1,19250.6,19250.6,19349.4,
1,2,18496,18496,19433.6,
1,2,19008.6,19008.6,19495.3,
1,2,19500.5,19500.5,19605,
1,3,19664.4,19664.4,19673.8,
1,3,19456.7,19456.7,19730.9,
1,2,20225.4,20225.4,20228.1,
1,1,19987.9,19987.9,20231.7,
1,2,20618.5,20618.5,20697.6,
1,1,20615.6,20615.6,20756.2,
1,3,20841.2,20841.2,21053.5,
1,1,20729.7,20729.7,21298.9,
1,1,21459.9,21459.9,21793.8,
1,2,22462,22462,22524,
