replication,call_type,call_started,call_answered,call_ended,
1,3,0,0,80.8277,
1,2,78.303,78.303,115.658,
1,1,91.9144,91.9144,666.046,
1,2,737.821,737.821,1251.3,
1,2,1154.66,1154.66,1343.37,
1,3,1856.52,1856.52,1918.96,
1,1,2075.7,2075.7,2626.14,
1,1,2030.54,2030.54,2646.48,
1,1,2571.32,2571.32,2655.72,
1,2,2879.71,2879.71,2957.31,
1,3,3019.46,3019.46,3403.49,
1,2,3356.13,3356.13,3931.37,
1,1,3922.41,3922.41,4100.88,
1,2,4282.03,4282.03,4397.54,
1,1,4376.33,4376.33,4485.11,
1,2,3599,3599,4700.94,
1,1,5072.29,5072.29,5247.85,
1,1,5327.15,5327.15,5543.05,
1,1,5532.76,5532.76,5835.36,
1,1,5620.61,5620.61,5913.07,
1,1,5252.65,5252.65,6095.66,
1,2,6140.48,6140.48,6246.43,
1,3,6805.91,6805.91,6888.16,
1,3,6736.94,6736.94,6963.68,
1,2,7012.1,7012.1,7013.15,
1,3,7095.74,7095.74,7116.08,
1,1,7219.17,7219.17,7487.33,
1,2,7826.88,7826.88,8180.38,
1,1,8601.88,8601.88,8674.6,
1,1,8714.9,8714.9,8810.27,
1,1,8903.01,8903.01,9003.08,
1,1,8999.61,8999.61,9278.22,
1,1,8541.88,8541.88,9911.34,
1,3,10741.4,10741.4,10798.4,
1,3,10763.1,10763.1,10940.2,
1,1,11077.9,11077.9,11196.3,
1,3,11077.2,11077.2,11214.2,
1,3,11211.4,11211.4,11375,
1,1,11539.6,11539.6,11689.7,
1,1,10971,10971,11809.6,
1,3,11708.7,11708.7,11846.8,
1,2,10495.9,10495.9,12035.6,
1,1,11569.6,11569.6,12155.7,
1,1,12263,12263,12446.2,
1,1,12718.6,12718.6,12722.4,
1,1,12667.8,12667.8,12740,
1,1,13339.2,13339.2,13386.3,
1,1,13640.2,13640.2,13649.3,
1,3,14504.9,14504.9,14598.7,
1,3,14794.6,14794.6,15086.7,
1,2,15150.8,15150.8,15184.4,
1,1,15552.8,15552.8,15619.7,
1,3,15753.9,15753.9,15819.2,
1,2,15800.7,15800.7,15832.9,
1,3,15901.7,15901.7,15961.7,
1,1,16542.6,16542.6,16638.7,
1,2,16774.7,16774.7,16854.3,
1,2,16463.2,16463.2,17097.1,
1,1,17535.7,17535.7,17732.4,
1,1,17835.8,17835.8,18061.5,
1,2,17951.7,17951.7,18119.6,
1,1,17150.9,17150.9,18183.9,
1,1,18179.6,18179.6,18217.1,
1,1,18389.2,18389.2,18445.5,
1,2,18549.7,18549.7,18782.1,
1,2,18823.9,18823.9,18833.8,
1,3,18757.5,18757.5,18848.5,
1,1,19232.1,19232.1,19407,
1,1,19305,19305,19423.6,
1,1,18056.9,18056.9,19428.8,
1,2,18826.2,18826.2,20029.8,
1,1,19953.8,19953.8,20078.1,
1,1,20332.6,20332.6,20431.4,
1,2,19535.6,19535.6,20473.2,
1,2,20077,20077,20563.6,
1,2,20596.5,20596.5,20701,
1,3,20769.6,20769.6,20779,
1,3,20550.2,20550.2,20824.5,
1,1,21111.3,21111.3,21355.1,
1,2,21362.2,21362.2,21364.8,
1,2,21777.4,21777.4,21856.5,
1,1,21774.3,21774.3,21914.9,
1,3,22012.6,22012.6,22224.8,
1,1,21894.8,21894.8,22464,
1,1,22666,22666,22999.9,
1,2,23724.4,23724.4,23786.5,
1,3,24342.3,24342.3,24828.2,
1,3,24813.5,24813.5,24904.9,
1,2,24383.1,24383.1,24980.2,
1,3,24883.1,24883.1,25016.2,
1,1,25116.8,25116.8,25161.3,
1,1,24706.4,24706.4,25299.1,
1,1,25346.8,25346.8,25558.4,
1,2,25333.7,25333.7,25802.7,
1,1,25645.8,25645.8,25921.3,
1,1,26513.4,26513.4,26858.8,
1,1,26231.1,26231.1,27040.1,
1,2,27131.8,27131.8,27171.2,
1,2,27307.1,27307.1,27950.9,
1,1,27947.1,27947.1,28209.9,
1,3,28010,28010,28212.6,
1,2,28402.2,28402.2,28469.7,
1,1,28397.8,28397.8,28542.4,
1,1,28708.2,28708.2,28806.5,
1,1,28578.2,28578.2,28930.5,
1,1,28913.9,28913.9,29013.5,
1,1,28434.3,28434.3,29014.1,
1,2,29188,29188,29207.8,
1,3,29662.8,29662.8,30165.8,
1,1,30344.2,30344.2,30492.2,
1,1,29721.9,29721.9,30565.6,
1,2,30193.7,30193.7,30655.6,
1,1,31088.6,31088.6,31175.4,
1,3,31628.6,31628.6,31653.8,
1,2,32004.6,32004.6,32243.6,
1,2,32475.5,32475.5,32558.4,
1,3,32638.3,32638.3,32896.4,
1,1,32557,32557,32938.8,
1,3,33045.6,33045.6,33224,
1,1,33234.8,33234.8,33249.2,
1,3,33323.1,33323.1,33395.4,
1,3,33226.4,33226.4,33506.4,
1,1,33391.2,33391.2,33584.3,
1,1,33945.1,33945.1,33994.2,
1,1,34101.6,34101.6,34141.2,
1,3,34577.3,34577.3,34697.5,
1,3,34934.1,34934.1,34953.2,
1,1,34839.5,34839.5,35057.6,
1,3,35714.5,35714.5,35994.6,
2,1,171.545,171.545,200.643,
2,1,371.849,371.849,480.975,
2,1,24.3044,24.3044,616.767,
2,1,0,0,635.184,
2,3,639.754,639.754,706.028,
2,1,776.708,776.708,801.045,
2,1,473.353,480.975,868.789,
2,1,150.447,150.447,1011.08,
2,1,1044.49,1044.49,1108.21,
2,1,1104.89,1104.89,1117.39,
2,1,922.156,922.156,1227.2,
2,1,1180.14,1180.14,1505.85,
2,2,1441.53,1441.53,1656.1,
2,2,1464.37,1464.37,1901.18,
2,1,2031.35,2031.35,2049.61,
2,1,769.318,769.318,2396.13,
2,3,2297.82,2297.82,2465.69,
2,1,1748.1,1748.1,2559.77,
2,1,2385.38,2385.38,2653.63,
2,3,2397.04,2397.04,2693.26,
2,1,3013.56,3013.56,3196.69,
2,3,3000.19,3000.19,3354.77,
2,2,3374.45,3374.45,3633.49,
2,1,3624.21,3624.21,3959.29,
2,2,4218.72,4218.72,4259.39,
2,1,3954.58,3954.58,4345.84,
2,1,4390.76,4390.76,4655.06,
2,2,4482.96,4482.96,4767.75,
2,2,4855.33,4855.33,4885.3,
2,1,5177.91,5177.91,5205.51,
2,1,5172.34,5172.34,5217.17,
2,1,4939.94,4939.94,5475.69,
2,1,5105.09,5105.09,5506.89,
2,1,5896.7,5896.7,6017.31,
2,1,6013.6,6013.6,6126.09,
