replication,call_type,call_started,call_answered,call_ended,
1,3,0,0,80.8277,
1,2,80.2676,80.2676,117.623,
1,1,94.2205,94.2205,668.352,
1,2,756.332,756.332,1269.81,
1,2,1183.63,1183.63,1372.34,
1,3,1903.1,1903.1,1965.54,
1,1,2127.78,2127.78,2678.21,
1,1,2081.49,2081.49,2697.43,
1,1,2635.83,2635.83,2720.23,
1,2,2951.96,2951.96,3029.56,
1,3,3095.21,3095.21,3479.25,
1,2,3440.34,3440.34,4015.57,
1,1,4020.82,4020.82,4199.29,
1,2,4389.46,4389.46,4504.97,
1,1,4486.13,4486.13,4594.91,
1,2,3689.3,3689.3,4791.24,
1,1,5199.55,5199.55,5375.11,
1,1,5460.8,5460.8,5676.7,
1,1,5671.57,5671.57,5974.17,
1,1,5761.63,5761.63,6054.09,
1,1,5384.44,5384.44,6227.45,
1,2,6294.55,6294.55,6400.49,
1,3,6976.66,6976.66,7058.92,
1,3,6905.97,6905.97,7132.71,
1,2,7188.04,7188.04,7189.08,
1,3,7273.77,7273.77,7294.11,
1,1,7400.3,7400.3,7668.46,
1,2,8023.25,8023.25,8376.75,
1,1,8817.7,8817.7,8890.42,
1,1,8933.56,8933.56,9028.93,
1,1,9126.38,9126.38,9226.46,
1,1,9225.4,9225.4,9504.02,
1,1,8756.19,8756.19,10125.7,
1,3,11010.9,11010.9,11067.9,
1,3,11033.1,11033.1,11210.3,
1,1,11355.8,11355.8,11474.3,
1,3,11355.1,11355.1,11492.1,
1,3,11492.6,11492.6,11656.2,
1,1,11829.1,11829.1,11979.2,
1,1,11246.2,11246.2,12084.9,
1,3,12002.5,12002.5,12140.6,
1,2,10759.2,10759.2,12299,
1,1,11859.9,11859.9,12446,
1,1,12570.7,12570.7,12753.9,
1,1,13037.7,13037.7,13041.5,
1,1,12985.6,12985.6,13057.9,
1,1,13673.9,13673.9,13720.9,
1,1,13982.5,13982.5,13991.5,
1,3,14868.8,14868.8,14962.7,
1,3,15165.8,15165.8,15457.9,
1,2,15530.9,15530.9,15564.5,
1,1,15943,15943,16009.9,
1,3,16149.1,16149.1,16214.4,
1,2,16197.1,16197.1,16229.4,
1,3,16300.7,16300.7,16360.7,
1,1,16957.6,16957.6,17053.7,
1,2,17195.6,17195.6,17275.1,
1,2,16876.3,16876.3,17510.1,
1,1,17975.7,17975.7,18172.4,
1,1,18283.3,18283.3,18509,
1,2,18402.1,18402.1,18570,
1,1,17581.2,17581.2,18614.2,
1,1,18635.7,18635.7,18673.3,
1,1,18850.5,18850.5,18906.8,
1,2,19015.1,19015.1,19247.5,
1,2,19296.2,19296.2,19306.1,
1,3,19228.1,19228.1,19319.1,
1,1,18510,18510,19881.8,
1,1,19714.6,19714.6,19889.5,
1,1,19789.4,19789.4,19908,
1,2,19298.5,19298.5,20502.2,
1,1,20454.4,20454.4,20578.8,
1,1,20842.7,20842.7,20941.5,
1,2,20025.7,20025.7,20963.3,
1,2,20580.7,20580.7,21067.3,
1,2,21113.2,21113.2,21217.8,
1,3,21290.7,21290.7,21300.1,
1,3,21065.8,21065.8,21340.1,
1,1,21641,21641,21884.7,
1,2,21898.2,21898.2,21900.8,
1,2,22323.8,22323.8,22402.8,
1,1,22320.6,22320.6,22461.2,
1,3,22564.9,22564.9,22777.1,
1,1,22444.1,22444.1,23013.4,
1,1,23234.7,23234.7,23568.6,
1,2,24319.7,24319.7,24381.7,
1,3,24953,24953,25438.9,
1,3,25436.1,25436.1,25527.4,
1,2,24994.9,24994.9,25592,
1,3,25507.4,25507.4,25640.5,
1,1,25746.9,25746.9,25791.4,
1,1,25326.3,25326.3,25919,
1,1,25982.7,25982.7,26194.3,
1,2,25969.3,25969.3,26438.3,
1,1,26289.2,26289.2,26564.7,
1,1,27178.6,27178.6,27524,
1,1,26889.2,26889.2,27698.2,
1,2,27812.5,27812.5,27851.9,
1,2,27992.2,27992.2,28636.1,
1,1,28648.2,28648.2,28911,
1,3,28712.8,28712.8,28915.3,
1,2,29114.8,29114.8,29182.3,
1,1,29110.3,29110.3,29254.9,
1,1,29428.5,29428.5,29526.8,
1,1,29295.2,29295.2,29647.5,
1,1,29147.7,29147.7,29727.5,
1,1,29639.3,29639.3,29738.9,
1,2,29920.3,29920.3,29940.2,
1,3,30407.1,30407.1,30910.1,
1,1,31105.6,31105.6,31253.5,
1,1,30467.6,30467.6,31311.3,
1,2,30951.2,30951.2,31413.1,
1,1,31868.6,31868.6,31955.4,
1,3,32422.1,32422.1,32447.4,
1,2,32807.6,32807.6,33046.6,
1,2,33290.3,33290.3,33373.2,
1,3,33457.1,33457.1,33715.3,
1,1,33373.9,33373.9,33755.6,
1,3,33874.7,33874.7,34053.1,
1,1,34068.6,34068.6,34083.1,
1,3,34159.2,34159.2,34231.4,
1,3,34060,34060,34340.1,
1,1,34229,34229,34422.1,
1,1,34796.8,34796.8,34845.9,
1,1,34957.2,34957.2,34996.8,
1,3,35444.8,35444.8,35565,
1,3,35810.6,35810.6,35829.7,
1,1,35713.6,35713.6,35931.7,
2,1,175.849,175.849,204.947,
2,1,381.179,381.179,490.304,
2,1,24.9142,24.9142,617.377,
2,1,0,0,635.184,
2,3,655.805,655.805,722.079,
