replication,call_type,call_started,call_answered,call_ended,
1,3,0,0,80.8277,
1,2,62.4031,62.4031,99.7585,
1,1,73.2506,73.2506,647.383,
1,2,588.002,588.002,1101.48,
1,2,920.197,920.197,1108.91,
1,3,1479.54,1479.54,1541.98,
1,1,2049.2,2049.2,2133.59,
1,1,1654.22,1654.22,2204.65,
1,1,1618.23,1618.23,2234.17,
1,2,2294.97,2294.97,2372.57,
1,3,2406.34,2406.34,2790.37,
1,2,2674.65,2674.65,3249.88,
1,1,3125.94,3125.94,3304.41,
1,2,3412.54,3412.54,3528.04,
1,1,3487.69,3487.69,3596.47,
1,2,2868.2,2868.2,3970.14,
1,1,4042.33,4042.33,4217.89,
1,1,4245.44,4245.44,4461.34,
1,1,4409.3,4409.3,4711.89,
1,1,4479.31,4479.31,4771.77,
1,2,4893.62,4893.62,4999.57,
1,1,4186.07,4186.07,5029.08,
1,3,5423.93,5423.93,5506.18,
1,2,5588.25,5588.25,5589.3,
1,3,5368.96,5368.96,5595.7,
1,3,5654.91,5654.91,5675.25,
1,1,5753.27,5753.27,6021.43,
1,2,6237.58,6237.58,6591.08,
1,1,6855.22,6855.22,6927.94,
1,1,6945.29,6945.29,7040.66,
1,1,7095.2,7095.2,7195.27,
1,1,7172.18,7172.18,7450.79,
1,1,6807.4,6807.4,8176.86,
1,3,8560.3,8560.3,8617.32,
1,3,8577.58,8577.58,8754.72,
1,1,8828.47,8828.47,8946.87,
1,3,8827.91,8827.91,8964.9,
1,3,8934.82,8946.87,9110.48,
1,1,9196.42,9196.42,9346.52,
1,3,9331.19,9346.52,9484.65,
1,1,8743.24,8743.24,9581.93,
1,1,9220.35,9220.35,9806.45,
1,2,8364.65,8364.65,9904.37,
1,1,9772.92,9772.92,9956.15,
1,1,10136,10136,10139.8,
1,1,10095.5,10095.5,10167.8,
1,1,10630.6,10630.6,10677.6,
1,1,10870.5,10870.5,10879.6,
1,3,11559.6,11559.6,11653.4,
1,3,11790.5,11790.5,12082.5,
1,2,12074.3,12074.3,12107.9,
1,1,12394.7,12394.7,12461.6,
1,3,12554.9,12554.9,12620.3,
1,2,12592.3,12592.3,12624.5,
1,3,12672.8,12672.8,12732.8,
1,1,13183.5,13183.5,13279.6,
1,2,13368.5,13368.5,13448.1,
1,2,13120.3,13120.3,13754.1,
1,1,13975,13975,14171.7,
1,1,14214.1,14214.1,14439.8,
1,2,14306.5,14306.5,14474.4,
1,1,14488.1,14488.1,14525.7,
1,1,13668.3,13668.3,14701.4,
1,1,14655.1,14655.1,14711.4,
1,2,15001.6,15001.6,15011.5,
1,2,14783.1,14783.1,15015.5,
1,3,14948.7,14948.7,15039.7,
1,1,15326.9,15326.9,15501.8,
1,1,15385,15385,15503.6,
1,1,14390.4,14390.4,15762.2,
1,1,15902,15902,16026.4,
1,2,15003.4,15011.5,16215.1,
1,1,16203.9,16203.9,16302.7,
1,2,16000.2,16000.2,16486.9,
1,2,15568.8,15568.8,16506.4,
1,2,16414.2,16414.2,16518.8,
1,3,16552.2,16552.2,16561.6,
1,3,16377.4,16377.4,16651.6,
1,2,17024.5,17024.5,17027.1,
1,1,16824.5,16824.5,17068.3,
1,2,17355.3,17355.3,17434.4,
1,1,17352.9,17352.9,17493.5,
1,3,17542.8,17542.8,17755,
1,1,17448.9,17448.9,18018.2,
1,1,18063.5,18063.5,18397.5,
1,2,18907,18907,18969.1,
1,3,19775,19775,19866.3,
1,3,19399.4,19399.4,19885.4,
1,3,19830.4,19866.3,19999.4,
1,2,19432,19432,20029.1,
1,1,20016.6,20016.6,20061.2,
1,1,19689.6,19689.6,20282.3,
1,1,20200,20200,20411.6,
1,2,20189.5,20189.5,20658.6,
1,1,20438.2,20438.2,20713.7,
1,1,21129.7,21129.7,21475.1,
1,2,21622.5,21622.5,21661.9,
1,1,20904.7,20904.7,21713.7,
1,2,21762.2,21762.2,22406.1,
1,3,22322.4,22322.4,22524.9,
1,1,22272.2,22272.2,22535,
1,2,22635,22635,22702.5,
1,1,22631.5,22631.5,22776,
1,1,22878.9,22878.9,22977.1,
1,1,22775.2,22775.2,23127.5,
1,1,23042.7,23042.7,23142.4,
1,1,22660.6,22660.6,23240.4,
1,2,23261.2,23261.2,23281,
1,3,23639.6,23639.6,24142.6,
1,1,24182.7,24182.7,24330.6,
1,2,24062.7,24062.7,24524.6,
1,1,23686.7,23686.7,24530.4,
1,1,24775.9,24775.9,24862.7,
1,3,25206.2,25206.2,25231.4,
1,2,25505.9,25505.9,25744.8,
1,2,25881.1,25881.1,25964.1,
1,3,26010.9,26010.9,26269,
1,1,25946.1,25946.1,26327.9,
1,1,26486.2,26486.2,26500.7,
1,3,26335.5,26335.5,26513.9,
1,3,26556.6,26556.6,26628.9,
1,3,26479.6,26479.6,26759.6,
1,1,26610.9,26610.9,26804,
1,1,27052.4,27052.4,27101.4,
1,1,27177,27177,27216.7,
1,3,27556.2,27556.2,27676.4,
1,3,27840.6,27840.6,27859.6,
1,1,27765.1,27765.1,27983.2,
1,3,28687.3,28687.3,28702.2,
1,3,28462.5,28462.5,28742.5,
1,3,28797.2,28797.2,29047.5,
1,1,28412.6,28412.6,29177,
1,2,28958.9,28958.9,29211.4,
1,3,29351.4,29351.4,29353,
1,2,29389.1,29389.1,29549.5,
1,3,28551,28551,29621.8,
1,1,29768,29768,30015.2,
1,2,30046.1,30046.1,30216.8,
1,2,30326.6,30326.6,30607,
1,3,30624,30624,30728.6,
1,1,31578.6,31578.6,31635.5,
1,1,31545.7,31545.7,31819.8,
1,2,32084.2,32084.2,32233.9,
1,2,32065,32065,32353.1,
1,3,31468.4,31468.4,32429.6,
1,2,32465.5,32465.5,32546.4,
1,1,32557.3,32557.3,32593.2,
1,1,32451.6,32451.6,32594,
1,1,33464.5,33464.5,33484.5,
1,2,33662.5,33662.5,33800.6,
1,1,33307.9,33307.9,33863,
1,1,33848.6,33848.6,33905.8,
1,2,34037,34037,34087.6,
1,1,34110.6,34110.6,34142,
1,2,34117.8,34117.8,34165.1,
1,2,34147.8,34147.8,34171.1,
1,1,34132.1,34132.1,34304.4,
1,3,34174.8,34174.8,34492.5,
1,3,34489.8,34492.5,34505.6,
1,1,34430.8,34430.8,34701.7,
1,2,34675.5,34701.7,34776.2,
1,1,34236.8,34236.8,34910.7,
1,1,34365,34365,34919.6,
1,1,34692.9,34910.7,35028.4,
1,1,34986.6,34986.6,35229.6,
1,1,34680.7,34776.2,35334.9,
1,3,35059.1,35059.1,35340.7,
1,3,35200.6,35340.7,35342.7,
1,1,35156.6,35334.9,35562.2,
1,1,34552.6,34552.6,35782.3,
1,3,35088.7,35229.6,35824.2,
1,2,35534.2,35534.2,35868.5,
2,1,136.711,136.711,165.81,
2,1,296.343,296.343,405.468,
2,1,19.3693,19.3693,611.832,
2,1,0,0,635.184,
2,3,509.848,611.832,678.106,
2,3,618.992,678.106,702.443,
2,1,377.236,405.468,793.283,
2,1,119.898,119.898,980.535,
2,1,613.103,635.184,1168.5,
2,1,1745.14,1745.14,1757.65,
2,1,1697.01,1697.01,1760.73,
2,1,1599.52,1599.52,1904.56,
2,1,1805.12,1805.12,2130.83,
2,2,2013.43,2013.43,2228.01,
2,2,2031.63,2031.63,2468.45,
2,1,2483.49,2483.49,2501.75,
2,3,2695.84,2695.84,2863.71,
2,1,2765.62,2765.62,3033.87,
2,1,2257.75,2257.75,3069.41,
2,3,2774.92,2774.92,3071.13,
2,1,3266.25,3266.25,3449.38,
2,3,3255.6,3255.6,3610.17,
2,2,3553.86,3553.86,3812.9,
2,1,3752.91,3752.91,4087.98,
2,2,4226.69,4226.69,4267.37,
2,1,4016.19,4016.19,4407.45,
2,1,4363.8,4363.8,4628.1,
2,2,4437.28,4437.28,4722.07,
2,2,4734.04,4734.04,4764.01,
2,1,4991.12,4991.12,5018.71,
2,1,4986.68,4986.68,5031.51,
2,1,4933.09,4933.09,5334.88,
2,1,4801.47,4801.47,5337.22,
2,1,5563.95,5563.95,5684.56,
2,1,5657.11,5657.11,5769.6,
2,1,5805.87,5805.87,5944.51,
2,3,6168.29,6168.29,6370.98,
2,2,6339.36,6339.36,6458.06,
2,2,6283.82,6283.82,6604.44,
2,2,6550.25,6550.25,6614.69,
2,3,6822.83,6822.83,6853.62,
2,1,7138.26,7138.26,7224.25,
2,3,7160.42,7160.42,7314.89,
2,1,7252.39,7252.39,7353.95,
2,3,7031.06,7031.06,7559.63,
2,2,7106.56,7106.56,7952.64,
2,1,7644.64,7644.64,8038.11,
2,1,8178.79,8178.79,8234.27,
2,1,8161.92,8161.92,8307.01,
2,3,8285.2,8285.2,8493.32,
2,1,7503.53,7503.53,8533.06,
2,1,8576.8,8576.8,8703.07,
2,3,8632.91,8632.91,8725.76,
2,1,8682.05,8682.05,8836.37,
2,1,8844.66,8844.66,8963.4,
2,1,8869.16,8869.16,9001.86,
2,1,8774.79,8774.79,9036.01,
2,2,8464.51,8464.51,9104.7,
2,1,9439.2,9439.2,9472.8,
2,1,9160.91,9160.91,9702.58,
2,1,9807.73,9807.73,9956.61,
2,1,9864.92,9864.92,9968.62,
2,2,10263.3,10263.3,10318.2,
2,2,9964.55,9964.55,10660.8,
2,3,10964.7,10964.7,11060.1,
2,1,11003.4,11003.4,11143.3,
2,1,11267.7,11267.7,11315.6,
2,2,11134.2,11134.2,11625.8,
2,1,11925.8,11925.8,12037.2,
2,2,11964.7,11964.7,12086.3,
2,3,11891,11891,12493,
2,1,12593.8,12593.8,12665.6,
2,3,12888.1,12888.1,12899.7,
2,3,12889.8,12889.8,12933,
2,3,12297.8,12297.8,13388.6,
2,2,13408.2,13408.2,13471.7,
2,1,13461.4,13461.4,13554.5,
2,1,13593.5,13593.5,13887.9,
2,1,14384.8,14384.8,14543.1,
2,1,13694.3,13694.3,14572.2,
2,2,13981.6,13981.6,14588.9,
2,3,13746.8,13746.8,14857.8,
2,2,14956.5,14956.5,15094.8,
2,3,14848.1,14848.1,15199.4,
2,1,14678,14678,15234.5,
2,3,14918.4,14918.4,15461.1,
2,1,15555.1,15555.1,15574.6,
2,1,15566.8,15566.8,16238.2,
2,2,15999.3,15999.3,16243.5,
2,3,15939.5,15939.5,16278.2,
2,3,16655.1,16655.1,17410.8,
2,2,17430.4,17430.4,17548.5,
2,2,16864.2,16864.2,17665.1,
2,2,17349.9,17349.9,17694.9,
2,1,17800.9,17800.9,17959.6,
2,1,17823.8,17959.6,18071,
2,1,17678.8,17678.8,18210.1,
2,1,17928.6,18071,18234.6,
2,1,17735.5,17735.5,18312.2,
2,3,18162.1,18312.2,18399.2,
2,3,17998.7,18210.1,18413.8,
2,1,18125.7,18234.6,18506.8,
2,1,18659.6,18659.6,18714.6,
2,2,17758.9,17758.9,18758.8,
2,1,18795.8,18795.8,18971.2,
2,2,18713.2,18713.2,19030,
2,1,19022.4,19022.4,19094.8,
2,2,18586.7,18586.7,19466.2,
2,3,19439.9,19439.9,19466.8,
2,1,19234.1,19234.1,19553,
2,2,19647,19647,19830,
2,2,19548.8,19548.8,19959.5,
2,1,19621.9,19621.9,19961.1,
2,1,19918.6,19918.6,20063.2,
2,3,19368.8,19368.8,20074.4,
2,1,20750,20750,21050.7,
2,1,20849.6,20849.6,21124.1,
2,2,21088,21088,21287.8,
2,2,21246.6,21246.6,21302.5,
2,1,21519.8,21519.8,21608.1,
2,2,21116.9,21116.9,21912.4,
2,1,22546.6,22546.6,22562.9,
2,1,22933.3,22933.3,22994.6,
2,1,22984.1,22984.1,23056,
2,3,22878.8,22878.8,23104.4,
